Lambda_Factor,Escenario,Capacidad_Bytes,Replica,W_Tiempo_Esp_Promedio,W_Tiempo_Esp_Maximo,W_Tiempo_Esp_P95,Lq_Cola_Promedio,Lq_Cola_Maximo,Throughput,N_Transacciones,N_Bloques_Minados
0.0015,1,2000000.0,9,624.3645139605508,3061.93015691021,2373.413740503286,1584.2151793160967,19944,2.6507638888888887,190855,54
0.0015,1,2000000.0,10,1483.6026257469543,3001.6463455355843,2924.9331253303344,724.2960800667223,26228,0.497875,35847,9
0.0015,2,500000.0,1,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,2,500000.0,2,6791.676274655787,16563.78276426008,15772.301011925818,6488.27189324437,57657,0.6369444444444444,45860,105
0.0015,2,500000.0,3,22017.012948716965,68321.76444436015,58438.71049509522,110452.44870725604,153919,1.7649027777777777,127073,114
0.0015,2,500000.0,4,13873.192821174693,33086.5534123968,32467.044266368153,5857.704753961635,34951,0.6126527777777778,44111,40
0.0015,2,500000.0,5,16949.60261622453,62122.39312082179,59532.35312526009,52105.37531276063,100534,1.7253055555555556,124222,112
0.0015,2,500000.0,6,30628.29131325015,74999.96735719913,64941.85635734615,107561.97331109257,149470,1.8335277777777779,132014,119
0.0015,2,500000.0,7,1047.4894354865087,2381.5282180008726,2359.118878762767,69.1768140116764,3523,0.06825,4914,5
0.0015,2,500000.0,8,14821.184240958977,37715.03524037099,30605.726950826203,34644.02168473728,94625,1.4114166666666668,101622,92
0.0015,2,500000.0,9,19942.443020860665,67199.99368584591,56683.884574539945,94511.44036697247,131551,1.8424722222222223,132658,119
0.0015,2,500000.0,10,33504.840376015614,87067.15482676573,84301.97787491287,82094.39949958299,131506,1.8319027777777779,131897,119
0.0015,2,1000000.0,1,851.2894491297425,3576.738086253812,2516.6395437660626,3457.488740617181,81373,0.3123472222222222,22489,10
0.0015,2,1000000.0,2,10333.878228195665,23051.058120907473,22228.847388805836,17933.311926605504,80046,1.9459444444444445,140108,119
0.0015,2,1000000.0,3,10565.344281666878,26665.253905002366,24830.25971094659,10263.023352793994,63515,1.4600277777777777,105122,49
0.0015,2,1000000.0,4,0.0,0.0,0.0,0.0,0,0.0,0,0
